mass,xsec1tev,rec_bias
0.107,8.710334093974137e-27,0.0012433050782168428
0.108,6.074062138701481e-27,0.0017829258846401117
0.109,4.709811531810185e-27,0.0022993706943175833
0.11,3.863114528244466e-27,0.0028033345977254
0.111,3.281582435350492e-27,0.003300115973117916
0.112,2.8553140296768148e-27,0.0037927886388136167
0.113,2.528318945656457e-27,0.00428332138657116
0.114,2.2688992428461017e-27,0.004773064580170039
0.115,2.057689387206789e-27,0.005262991916726554
0.116,1.882154295971368e-27,0.005753833591211638
0.117,1.7338030911502402e-27,0.006246154864575059
0.118,1.6066699530197936e-27,0.006740402776344153
0.119,1.4964337526050522e-27,0.007236940889064243
0.12,1.3998844490768286e-27,0.0077360689442225496
0.121,1.3145851562629527e-27,0.008238038106857441
0.122,1.238651036919042e-27,0.008743061838417665
0.123,1.170600360709983e-27,0.009251323487919537
0.124,1.1092514166298612e-27,0.00976298289968018
0.125,1.0536498577173002e-27,0.010278179731799467
0.126,1.0030161150129825e-27,0.010797037505088515
0.127,9.567068067262909e-28,0.011319667149709792
0.128,9.141862005619708e-28,0.011846167230861883
0.129,8.750043421144018e-28,0.012376627281453466
0.13,8.387804957472702e-28,0.01291112831892359
0.131,8.051902017950524e-28,0.013449744653946797
0.132,7.739551911091217e-28,0.013992544705958898
0.133,7.448355177285593e-28,0.01453958941838483
0.134,7.176228811346674e-28,0.015090938286248832
0.135,6.9213580174222395e-28,0.015646644176971324
0.136,6.6821526829959835e-28,0.016206757202003694
0.137,6.45721387330833e-28,0.016771324017574845
0.138,6.245305843005962e-28,0.01734038793973762
0.139,6.045332574713157e-28,0.017913989806453614
0.14,5.8563183890159105e-28,0.018492168445478154
0.141,5.677392100257695e-28,0.019074959806830667
0.142,5.5077730505246755e-28,0.019662398055729093
0.143,5.34675960361026e-28,0.02025451565971087
0.144,5.1937194272193115e-28,0.020851343172770227
0.145,5.048080828340133e-28,0.02145291048274329
0.146,4.90932651915892e-28,0.022059242891545757
0.147,4.776985600577474e-28,0.022670368968024924
0.148,4.650629969524564e-28,0.023286313215563056
0.149,4.529868924970423e-28,0.023907099281187384
0.15,4.41434512142251e-28,0.02453275019084493
